Using GPU 2
Start training: lr 0.010000, batch size 10
Checkpoint: ../checkpoints/
[38/41] 45700), Loss: 0.022, mAP 92.76%
[39/41] 45800), Loss: 0.018, mAP 94.54%
[39/41] 45900), Loss: 0.051, mAP 94.07%
[39/41] 46000), Loss: 0.081, mAP 92.80%
[39/41] 46100), Loss: 0.031, mAP 94.76%
[39/41] 46200), Loss: 0.041, mAP 94.52%
[39/41] 46300), Loss: 0.077, mAP 93.94%
[39/41] 46400), Loss: 0.031, mAP 94.03%
[39/41] 46500), Loss: 0.092, mAP 93.84%
[39/41] 46600), Loss: 0.054, mAP 92.22%
[39/41] 46700), Loss: 0.067, mAP 94.77%
[39/41] 46800), Loss: 0.036, mAP 94.26%
[39/41] 46900), Loss: 0.091, mAP 94.25%
[40/41] 47000), Loss: 0.061, mAP 95.76%
[40/41] 47100), Loss: 0.024, mAP 95.42%
[40/41] 47200), Loss: 0.058, mAP 93.22%
[40/41] 47300), Loss: 0.018, mAP 92.79%
[40/41] 47400), Loss: 0.054, mAP 93.76%
[40/41] 47500), Loss: 0.025, mAP 95.02%
[40/41] 47600), Loss: 0.024, mAP 96.56%
[40/41] 47700), Loss: 0.111, mAP 93.59%
[40/41] 47800), Loss: 0.050, mAP 93.51%
[40/41] 47900), Loss: 0.043, mAP 93.91%
[40/41] 48000), Loss: 0.102, mAP 94.19%
[40/41] 48100), Loss: 0.033, mAP 92.57%
[41/41] 48200), Loss: 0.049, mAP 91.78%
[41/41] 48300), Loss: 0.028, mAP 95.60%
[41/41] 48400), Loss: 0.122, mAP 91.57%
[41/41] 48500), Loss: 0.052, mAP 91.26%
[41/41] 48600), Loss: 0.039, mAP 93.70%
[41/41] 48700), Loss: 0.037, mAP 95.50%
[41/41] 48800), Loss: 0.101, mAP 92.49%
[41/41] 48900), Loss: 0.056, mAP 95.26%
[41/41] 49000), Loss: 0.024, mAP 94.46%
[41/41] 49100), Loss: 0.111, mAP 93.73%
[41/41] 49200), Loss: 0.022, mAP 97.09%
[41/41] 49300), Loss: 0.037, mAP 93.61%
Saved: ../checkpoints/
TESTING: 49323), mAP 92.52%
